重复,胜出方案,两组平均孕周,三组平均孕周,三组减两组_平均孕周,两组最低审计达标概率,三组最低审计达标概率,三组减两组_最低审计概率
41,树AFT三组,15.0449438202247,15.036918138041715,-0.008025682182985605,0.8877435752022855,0.8983777891053103,0.01063421390302477
42,参数AFT两组,15.354200107009074,15.30016051364364,-0.05403959336543451,0.8910593251695637,0.8992358979712903,0.008176572801726678
43,参数AFT两组,15.320492241840538,15.357945425361137,0.0374531835205989,0.8913890866259077,0.8989973282300309,0.0076082416041232115
44,参数AFT两组,15.132691278758674,15.156233279828767,0.02354200107009241,0.8950728897434306,0.8969732035335083,0.0019003137900777123
45,参数AFT两组,15.207597645799876,15.142857142857125,-0.06474050294275102,0.8953385429049343,0.8968610118065642,0.001522468901629881
46,树AFT三组,15.24023542001068,15.20545746388441,-0.03477795612626977,0.889321581775661,0.8954067823482179,0.006085200572556904
47,参数AFT两组,15.409309791332241,15.449973247726039,0.04066345639379776,0.8903171273384423,0.897280809628072,0.006963682289629736
48,参数AFT两组,15.155698234349902,15.074371321562316,-0.08132691278758664,0.8921796340398112,0.8986480628706318,0.0064684288308206606
49,树AFT三组,15.110219368646316,15.203317281968951,0.0930979133226355,0.8882053989159455,0.89942459979247,0.011219200876524504
50,树AFT三组,15.174959871589065,15.078651685393242,-0.09630818619582371,0.8888214824408479,0.894884875481352,0.006063393040504073
51,参数AFT两组,15.133226324237542,15.084537185660764,-0.048689138576778035,0.8924617945060113,0.8984818223523316,0.006020027846320386
52,参数AFT两组,15.13483146067414,15.223649010165847,0.08881754949170606,0.8929348868641646,0.9003711543623424,0.007436267498177829
53,参数AFT两组,15.297485286249314,15.251471375066863,-0.046013911182450684,0.8908651535606156,0.8964210942676012,0.005555940706985618
54,树AFT三组,15.238630283574084,15.216693418940594,-0.021936864633490316,0.8885633561263011,0.8948669741715771,0.006303618045276016
55,参数AFT两组,14.959871589085056,14.96896736222577,0.009095773140714414,0.8939497162908983,0.8991415061521906,0.0051917898612923175
56,参数AFT两组,15.177635098983398,15.219903691813787,0.042268592830389196,0.8959328542431523,0.9013540322307749,0.00542117798762265
57,树AFT三组,15.052969502407686,14.993579454253595,-0.05939004815409099,0.8858173258740769,0.9005431995134531,0.014725873639376164
58,参数AFT两组,15.24558587479934,15.262172284644176,0.016586409844835615,0.8928257743070601,0.8998690672968646,0.007043292989804439
59,参数AFT两组,15.044943820224702,15.11610486891384,0.07116104868913808,0.8933910624194115,0.89859500855224,0.005203946132828485
60,参数AFT两组,15.26056714820758,15.200107009095754,-0.06046013911182513,0.891879649851282,0.8973956415590952,0.00551599170781325
61,参数AFT两组,15.235955056179757,15.285714285714267,0.049759229534510396,0.8902101472832349,0.9008571938099826,0.01064704652674775
62,参数AFT两组,14.945425361155682,14.975922953451027,0.030497592295345655,0.8930681173365,0.8970888041953767,0.0040206868588766875
63,参数AFT两组,15.382022471910092,15.285179240235403,-0.09684323167468989,0.893481893225423,0.896915747340572,0.00343385411514896
64,参数AFT两组,14.955056179775264,14.941680042803624,-0.013376136971640307,0.8925886760509602,0.898677055279657,0.006088379228696872
65,树AFT三组,15.05778491171748,15.02996254681646,-0.02782236490102008,0.8888221151861284,0.8975473844794679,0.0087252692933395
66,参数AFT两组,15.13322632423754,15.115569823434976,-0.017656500802564423,0.8902965115874696,0.8997534160803489,0.009456904492879281
67,参数AFT两组,15.051364365971093,15.092027822364885,0.04066345639379243,0.89478215774557,0.8984077734414052,0.0036256156958351937
68,参数AFT两组,15.280363830925607,15.248796147672534,-0.03156768325307269,0.8950995752085955,0.8937010405315959,-0.0013985346769995743
69,参数AFT两组,15.347244515783823,15.327982878544658,-0.01926163723916474,0.8917004123310646,0.899086848711813,0.007386436380748429
70,参数AFT两组,15.224719101123577,15.28892455858746,0.06420545746388306,0.8925403073141864,0.90012320351351,0.007582896199323619
71,参数AFT两组,15.263242375601907,15.197431781701425,-0.0658105939004816,0.8916618810956619,0.8978445742810736,0.006182693185411647
72,参数AFT两组,15.173354735152468,15.128945960406616,-0.04440877474585214,0.8925805991938583,0.896680981818298,0.00410038262443968
73,参数AFT两组,14.97699304440876,14.997859818084521,0.020866773675761507,0.8943138948914084,0.898571498371223,0.00425760347981452
74,参数AFT两组,15.38041733547349,15.463884430176545,0.08346709470305491,0.8913269079992028,0.9000138155788411,0.008686907579638303
75,参数AFT两组,15.20438737292668,15.272873194221491,0.06848582129481073,0.8916714498451799,0.9000003372338792,0.008328887388699302
76,参数AFT两组,15.326377742108061,15.294810058854987,-0.03156768325307446,0.8912421707605099,0.8997799710291152,0.008537800268605289
