outer_fold,低BMI周,高BMI周,测试人数,低BMI人数,高BMI人数,平均孕周,总体达标概率,最低审计概率,最低审计层,审计层1,审计层2,审计层3,审计层4,安全通过,审计切点
0,16,23,67,57,10,17.044776119402986,0.9404789568484276,0.9289524205890989,3,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.9487015591477469,True,30.153098|31.686783|34.040136
1,16,23,67,57,10,17.044776119402986,0.927427166914393,0.917892981467574,3,0.9278790796385445,0.9225687430210205,0.917892981467574,0.9478575052846341,True,30.127285|31.724831|33.994467
2,16,23,67,54,13,17.35820895522388,0.9407870462017156,0.9285046845166647,1,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.9518077896148067,True,30.065446|31.721771|33.538981
3,16,23,66,47,19,18.015151515151516,0.9363959121618979,0.8940543773413118,3,0.939077681139556,0.9362730697006879,0.8940543773413118,0.9547441490020894,True,30.129913|31.640625|33.516868
0,16,24,67,57,10,17.19402985074627,0.9416927776257866,0.9289524205890989,3,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.9554787251546674,True,30.153098|31.686783|34.040136
1,16,24,67,57,10,17.19402985074627,0.9283555753115859,0.917892981467574,3,0.9278790796385445,0.9225687430210205,0.917892981467574,0.9526423793317049,True,30.127285|31.724831|33.994467
2,16,24,67,54,13,17.55223880597015,0.9419606479220874,0.9285046845166647,1,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.9552265424524119,True,30.065446|31.721771|33.538981
3,16,24,66,47,19,18.303030303030305,0.9384561326266048,0.8940543773413118,3,0.939077681139556,0.9362730697006879,0.8940543773413118,0.9606560859877702,True,30.129913|31.640625|33.516868
0,17,17,67,57,10,17.0,0.9384850526134417,0.8786838173459796,4,0.9596201910237523,0.9540946958908072,0.9431685836435997,0.8786838173459796,False,30.153098|31.686783|34.040136
1,17,17,67,57,10,17.0,0.9294217678821041,0.8984163509316876,4,0.9416569126816526,0.936947072149791,0.9327789071927247,0.8984163509316876,True,30.127285|31.724831|33.994467
2,17,17,67,54,13,17.0,0.9381238943463764,0.9201165845990513,4,0.9418928379685042,0.9483047388264196,0.9539024967341586,0.9201165845990513,True,30.065446|31.721771|33.538981
3,17,17,66,47,19,17.0,0.9223305700963697,0.8811497856994216,4,0.9550864178381834,0.9527833008987796,0.9162867216857177,0.8811497856994216,False,30.129913|31.640625|33.516868
0,17,18,67,57,10,17.149253731343283,0.9414901754534424,0.8954624198693173,4,0.9596201910237523,0.9540946958908072,0.9431685836435997,0.8954624198693173,True,30.153098|31.686783|34.040136
1,17,18,67,57,10,17.149253731343283,0.9319028293893887,0.9112033602384623,4,0.9416569126816526,0.936947072149791,0.9327789071927247,0.9112033602384623,True,30.127285|31.724831|33.994467
2,17,18,67,54,13,17.19402985074627,0.9410945215050183,0.928770150669877,4,0.9418928379685042,0.9483047388264196,0.9539024967341586,0.928770150669877,True,30.065446|31.721771|33.538981
3,17,18,66,47,19,17.28787878787879,0.9291693021882326,0.900773973441289,4,0.9550864178381834,0.9527833008987796,0.9162867216857177,0.900773973441289,True,30.129913|31.640625|33.516868
0,17,19,67,57,10,17.29850746268657,0.9440973028737298,0.9100188812992546,4,0.9596201910237523,0.9540946958908072,0.9431685836435997,0.9100188812992546,True,30.153098|31.686783|34.040136
1,17,19,67,57,10,17.29850746268657,0.9340258684501148,0.9221451769360502,4,0.9416569126816526,0.936947072149791,0.9327789071927247,0.9221451769360502,True,30.127285|31.724831|33.994467
2,17,19,67,54,13,17.388059701492537,0.9436474734611094,0.9362070107158821,4,0.9418928379685042,0.9483047388264196,0.9539024967341586,0.9362070107158821,True,30.065446|31.721771|33.538981
3,17,19,66,47,19,17.575757575757574,0.9348984705413917,0.9162867216857177,3,0.9550864178381834,0.9527833008987796,0.9162867216857177,0.9172141956720934,True,30.129913|31.640625|33.516868
