重复,多因素减仅BMI_区间负对数评分
87,-0.003139228298300773
88,-0.0005574750690979425
89,0.01768125623830962
90,0.00806190777224469
91,0.03554746218488413
92,0.01129539018036045
93,0.002850094174060742
94,-0.018339809883111933
95,0.017913417996715232
96,-0.0013366049072137123
97,-0.017099962101522065
98,0.012007714303615299
99,-0.0043960980546050386
100,-0.005799435344330467
101,0.010643537836492
102,0.023345778272460444
103,0.00925420611252636
104,0.007462149114179031
105,-0.0013820623021733864
106,-0.0036546515107195305
107,0.026398684834689067
108,0.00028832539580869526
109,-0.002675210896633163
110,-0.019463948213268897
111,0.015392746024047327
112,-0.016903884013406388
113,0.003255393415793863
114,0.010083600025626301
115,0.0014497484196857556
116,-1.945688852757932e-05
117,-0.0021871578551969735
118,0.008937184797283405
119,-0.004139910382904304
120,-0.017427057637425393
121,0.001955521940340213
122,0.019181655199801695
123,0.006513293421666371
124,-0.006415374169111261
125,-0.004032634348036507
126,0.007709575272219605
127,-0.00441343984075204
128,-0.006775349221266263
129,-0.005688304748910096
130,0.016066430387324256
131,0.00750242472473933
132,0.00044485805950390215
133,-0.00866938178677613
134,0.009898956983419806
135,-0.009463038662589324
136,0.019792755377223203
137,-0.0021991388769779015
138,-0.0007296595788771408
139,-0.002947714829408517
140,-0.0019277368722677218
141,-0.004981863434410747
142,0.007559719029578545
143,0.0034015539395701455
144,0.00530373716064257
145,-0.007345929041584469
146,0.0054387319674686525
147,-0.004073041261218208
148,-0.008026671749629283
149,-0.002707140668289908
150,0.01007557349494119
151,0.007855617876840632
152,-0.006535961907296395
153,-0.012210580694438072
154,-0.004517589216912562
155,0.007030159989265902
156,-0.004658669505803361
157,-0.00033868501311554383
158,-0.005344129614146948
159,0.017724610349616865
160,0.014309518116982087
161,-0.009126488850684381
162,0.0009799029183517299
163,-0.0006239008664095737
164,-0.008341124529351068
165,-0.005401187739117361
166,-0.004425966253581194
167,-0.008623663401861457
168,0.0003795868841002531
169,0.024899808913238567
170,0.02184123686967552
171,-0.007295382485496738
172,0.0038576263161858933
173,-0.010937727932058295
174,0.018523755981245643
175,-0.009584191611741821
176,0.00865373083632171
177,-0.002864567845625248
178,-0.010745051388406207
179,-0.007371161552561311
180,-3.7138951781590515e-05
181,0.023832672106001835
182,-0.016827248967437966
183,0.0062466572926327575
184,-0.003730234467404844
185,-0.010769037474378882
186,-0.0012424636277733527
187,-0.01677733877598763
188,0.008884850623531799
189,0.00013799199103785127
190,0.008984365985994686
191,-0.002299201469526399
192,0.02446451906963911
193,0.018677288397463517
194,0.0030733321485922455
195,0.010382349601534762
196,-0.011844701766666972
197,-0.0018240128510026187
198,0.0047695771319235785
199,-0.005809395475468519
200,-0.0032512361620737505
201,-0.011805752767077378
202,-0.0024941506985684033
203,-0.0013846521273732032
204,0.007189228454117413
205,0.002909566619862142
206,-0.0014053131147888792
207,-0.004948579659034337
208,0.00826328979203507
209,-0.0009675230902291682
210,-0.0030196800796403523
211,0.007280474686930623
212,0.005400921061514886
213,0.00046479890959658836
214,0.012551296639832489
215,0.026011110309925055
216,0.003885894408783607
217,0.0007479470444865251
218,0.012959122865807686
219,-0.006259821363625616
220,-0.002212953316234546
221,0.011804192026341757
222,0.013038770686834853
223,-0.0159285800511516
224,0.010484775862299804
225,-0.006527379492336803
226,0.017269801431355775
227,0.011052945516274228
228,-0.005636665150317722
229,0.012328112913491703
230,0.019030806371361147
231,-0.012527346319133532
232,0.006841279925569998
233,0.009585649156401288
234,0.024134432466913585
235,0.004944520523201404
236,0.01613895303267508
237,0.017119380285079578
238,0.005283610575406901
239,0.011954653050539443
240,0.037359298478998715
241,-0.004379058397347267
242,-0.004970076237845049
243,-0.008838382517490495
244,-0.01013876602853094
245,0.0019046415184092776
246,-0.00520765845385678
247,-0.023047461275476962
248,-0.01025566472078066
249,0.0036692494342547813
250,0.01380253110895041
251,0.02171925419399682
252,-0.013634642921449919
253,-0.002406907866454165
254,-0.0051717390665929315
255,-0.007150248260175242
256,0.0042121761120082184
257,0.019541023808065498
258,-0.001997176974495725
259,-0.011786367510876429
260,-0.011423659905109544
261,0.006250335835195352
262,0.003823736384025228
263,0.009518290598493332
264,0.007819841279907263
265,-0.002077351396330945
266,0.014079385180186572
267,0.011372735684303744
268,-0.013410547143825488
269,0.009679745310084463
270,0.015526603771633589
271,-0.015821681799702596
272,0.0038953662581370143
273,-0.010433912704702153
274,0.005366491011254837
275,0.0021956601092456888
276,-0.001420506436453022
277,0.02968126514519173
278,-0.008957795411515125
279,-0.018642252337248304
280,-0.003163961544781495
281,0.0028639108910662042
282,0.016361525754506147
283,-0.004758493880916632
284,0.01686766301928941
285,-0.007087190083917137
286,-0.0026590000261771545
287,0.0015628533434074166
288,0.004120261572178154
289,-0.0018526901412806703
290,-0.009675434428986027
291,0.0027907893059636022
292,0.013343082820463356
293,0.0023215777591998944
294,0.0011901558108172179
295,-0.0024446050982978654
296,-0.011964938406397129
297,-0.0018052822476358633
298,0.0160576999496157
299,0.0007822896640542788
300,0.04635449218268102
301,-0.006977905034806802
302,0.015742009452497083
303,-0.005603841862600208
304,-0.017428830147090887
